Subnet-AA: 10.55.128.0/30
Subnet-AB: 10.55.128.4/30
Subnet-AC: 10.55.128.8/30
Subnet-AD: 10.55.128.12/30
Subnet-AE: 10.55.128.16/30
Subnet-AF: 10.55.128.20/30
Subnet-AG: 10.55.128.24/30
Subnet-AH: 10.55.128.28/30
Subnet-AI: 10.55.128.32/30
Subnet-AJ: 10.55.128.36/30
Subnet-AK: 10.55.128.40/30
Subnet-AL: 10.55.128.44/32
Subnet-AM: 10.55.128.45/32
Subnet-AN: 10.55.128.46/32
Subnet-AO: 10.55.128.47/32
Subnet-AP: 10.55.128.48/28
Subnet-AQ: 10.55.128.64/26
Subnet-AR: 10.55.128.128/25
Subnet-AS: 10.55.129.0/26
Subnet-AT: 10.55.129.64/26
Subnet-AU: 10.55.129.128/25
Subnet-AV: 10.55.130.0/23
Subnet-AW: 10.55.132.0/22
Subnet-AX: 10.55.136.0/21
Subnet-AY: 10.55.144.0/21
Subnet-AZ: 10.55.152.0/22
Subnet-BA: 10.55.156.0/23
Subnet-BB: 10.55.158.0/24
Subnet-BC: 10.55.159.0/25
Subnet-BD: 10.55.159.128/26
Subnet-BE: 10.55.159.192/27
Subnet-BF: 10.55.159.224/28
Subnet-BG: 10.55.159.240/29
Subnet-BH: 10.55.159.248/30
Subnet-BI: 10.55.159.252/32
Subnet-BJ: 10.55.159.253/32
Subnet-BK: 10.55.159.254/32
Subnet-BL: 10.55.159.255/32
Subnet-BM: 10.130.226.0/27
Subnet-BN: 10.130.228.0/27
Subnet-BO: 10.130.230.0/27
Subnet-BP: 10.130.182.0/26

X-Subnet-A: 10.55.130.0/24
X-Subnet-B: 10.55.131.0/24
X-Subnet-D: 10.55.132.0/24
X-Subnet-E: 10.55.134.0/24
X-Subnet-F: 10.55.135.0/24
X-Subnet-G: 10.55.136.0/24
X-Subnet-H: 10.55.137.0/24
X-Subnet-I: 10.55.138.0/24
X-Subnet-J: 10.55.139.0/24
X-Subnet-K: 10.55.140.0/24

